iso3c,country,year,country_group,sector,pct_of_gdp
BRN,Brunei Darussalam,2014,ASEAN,Manufacturing,1.5867584699661
BRN,Brunei Darussalam,2015,ASEAN,Agriculture,1.10321250063154
BRN,Brunei Darussalam,2015,ASEAN,Industry,61.3627773605269
BRN,Brunei Darussalam,2015,ASEAN,Services,39.4304335816622
BRN,Brunei Darussalam,2015,ASEAN,Manufacturing,1.61783260366963
BRN,Brunei Darussalam,2016,ASEAN,Agriculture,1.20365462606268
BRN,Brunei Darussalam,2016,ASEAN,Industry,57.2893638536308
BRN,Brunei Darussalam,2016,ASEAN,Services,42.9760421304837
BRN,Brunei Darussalam,2016,ASEAN,Manufacturing,1.80933265445425
BRN,Brunei Darussalam,2017,ASEAN,Agriculture,1.08645090330462
BRN,Brunei Darussalam,2017,ASEAN,Industry,59.7205889692852
BRN,Brunei Darussalam,2017,ASEAN,Services,40.8510759470592
BRN,Brunei Darussalam,2017,ASEAN,Manufacturing,1.76286645967957
BRN,Brunei Darussalam,2018,ASEAN,Agriculture,1.01764195887903
BRN,Brunei Darussalam,2018,ASEAN,Industry,63.2448184042319
BRN,Brunei Darussalam,2018,ASEAN,Services,37.3375698653062
BRN,Brunei Darussalam,2018,ASEAN,Manufacturing,2.13432132681769
BRN,Brunei Darussalam,2019,ASEAN,Agriculture,0.986055130118515
BRN,Brunei Darussalam,2019,ASEAN,Industry,62.5153210994416
BRN,Brunei Darussalam,2019,ASEAN,Services,38.1775985820028
BRN,Brunei Darussalam,2019,ASEAN,Manufacturing,2.32782262461272
BRN,Brunei Darussalam,2020,ASEAN,Agriculture,1.21750283610591
BRN,Brunei Darussalam,2020,ASEAN,Industry,59.1336302400797
BRN,Brunei Darussalam,2020,ASEAN,Services,41.4503545662141
BRN,Brunei Darussalam,2020,ASEAN,Manufacturing,6.83209906466008
BRN,Brunei Darussalam,2021,ASEAN,Agriculture,1.25629022275081
BRN,Brunei Darussalam,2021,ASEAN,Industry,62.7015642235623
BRN,Brunei Darussalam,2021,ASEAN,Services,37.6286451425038
BRN,Brunei Darussalam,2021,ASEAN,Manufacturing,9.67845059333191
BRN,Brunei Darussalam,2022,ASEAN,Agriculture,1.09616028876241
BRN,Brunei Darussalam,2022,ASEAN,Industry,67.9255854192344
BRN,Brunei Darussalam,2022,ASEAN,Services,32.5201826668198
BRN,Brunei Darussalam,2022,ASEAN,Manufacturing,11.6258071388694
BRN,Brunei Darussalam,2023,ASEAN,Agriculture,1.17312222164113
